"Id","External_Id__c","Crew_Type__c","Roof_Type__c","Panels_Per_Day__c"
"a02cb00000L3gD7AAJ","CAP-ROOF-TILE","Roof","Tile","18"
"a02cb00000L3gD8AAJ","CAP-ROOF-SLATE","Roof","Slate","14"
"a02cb00000L3gD9AAJ","CAP-ROOF-FLAT","Roof","Flat","26"
"a02cb00000L3gDAAAZ","CAP-ROOF-METAL","Roof","Metal","22"
"a02cb00000L3gDBAAZ","CAP-GROUND-TILE","Ground","Tile","14"
"a02cb00000L3gDCAAZ","CAP-GROUND-SLATE","Ground","Slate","10"
"a02cb00000L3gDDAAZ","CAP-GROUND-FLAT","Ground","Flat","22"
"a02cb00000L3gDEAAZ","CAP-GROUND-METAL","Ground","Metal","18"
"a02cb00000L3gDFAAZ","CAP-ELECTRICAL-TILE","Electrical","Tile","14"
"a02cb00000L3gDGAAZ","CAP-ELECTRICAL-SLATE","Electrical","Slate","10"
"a02cb00000L3gDHAAZ","CAP-ELECTRICAL-FLAT","Electrical","Flat","22"
"a02cb00000L3gDIAAZ","CAP-ELECTRICAL-METAL","Electrical","Metal","18"
