"Id","External_Id__c","Label__c","Sequence__c","Is_Template__c"
"a03cb00000jqcWBAAY","HANDOVER-TPL-01","Panels fixed and torqued","10","true"
"a03cb00000jqcWCAAY","HANDOVER-TPL-02","Inverter commissioned","20","true"
"a03cb00000jqcWDAAY","HANDOVER-TPL-03","Isolator labelled","30","true"
"a03cb00000jqcWEAAY","HANDOVER-TPL-04","Roof penetrations sealed","40","true"
"a03cb00000jqcWFAAY","HANDOVER-TPL-05","Monitoring app connected","50","true"
"a03cb00000jqcWGAAY","HANDOVER-TPL-06","Customer shown the isolator","60","true"
"a03cb00000jqcWHAAY","HANDOVER-TPL-07","Warranty documents handed over","70","true"
"a03cb00000jqcWIAAY","HANDOVER-TPL-08","Site cleared of offcuts","80","true"
"a03cb00000jqcWJAAY","HANDOVER-TPL-09","Photos of the array uploaded","90","true"
"a03cb00000jqcWKAAY","HANDOVER-TPL-10","Customer signature collected","100","true"
